statDate,q1,q2,auto,geo,gender,age,poll
18.12.19 14:12,Авито дром ру,"drom·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
18.12.19 14:14,Ижлада,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 14:14,Авто.ру,"drom·ru, auto·ru, avito·ru, Газета","Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
18.12.19 14:17,Авто ру,avito·ru,"Да, но я его не вожу",Пермь,Женщина,25-34 лет,chel01
18.12.19 14:20,Даром.ру,drom·ru,Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 14:22,Авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 14:23,Дром,drom·ru,"Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
18.12.19 14:23,Дром ру,auto·ru,"Да, я его вожу",в Челябинской области,Женщина,51 и более лет,chel01
18.12.19 14:25,Авито,"auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
18.12.19 14:28,Авито,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 14:29,Авито,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,18-24 лет,chel01
18.12.19 14:30,Дром ру,"drom·ru, avito·ru",Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 14:30,Drom,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 14:38,"Авито, автору","auto·ru, avito·ru",Нет,в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 14:42,"Авито,Дром.","drom·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 14:45,авито,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 14:46,Да,auto·ru,"Да, но я его не вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 14:46,авито,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 14:46,Хз,auto·ru,"Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 14:49,Auto.ru,avito·ru,"Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 14:49,юла,auto·ru,"Да, но я его не вожу",в Челябинской области,Мужчина,51 и более лет,chel01
18.12.19 14:49,Авито,avito·ru,Нет,Пермь,Мужчина,18-24 лет,chel01
18.12.19 14:51,98720276,drom·ru,"Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 14:51,Авто.ру,Я не продовал,"Да, но я его не вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 14:52,Много,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 14:54,Н,drom·ru,Нет,в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 14:55,Авто ру дром ру Авито,"drom·ru, auto·ru","Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 14:55,"Дом ру, авито","drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,18-24 лет,chel01
18.12.19 14:56,Авто. Ру,"drom·ru, auto·ru, avito·ru",Нет,Курган,Мужчина,менее 18 лет,chel01
18.12.19 15:02,Avito,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
18.12.19 15:02,"Авито, Дром.ру, auto.ru","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,25-34 лет,chel01
18.12.19 15:02,АВТО РУ,drom·ru,"Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 15:03,Авито,"drom·ru, auto·ru, avito·ru",Нет,в Челябинской области,Мужчина,18-24 лет,chel01
18.12.19 15:04,Биседы в вк,Беседы группы ,"Да, я его вожу",в Челябинске,Мужчина,18-24 лет,chel01
18.12.19 15:04,Мой далЕЕ,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 15:05,Авто. Ру ,auto·ru,"Да, я его вожу",в Челябинской области,Мужчина,18-24 лет,chel01
18.12.19 15:06,Мой отвот,drom·ru,Нет,в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 15:07,Дром ,"drom·ru, auto·ru","Да, я его вожу",Нягань ,Мужчина,45-50 лет,chel01
18.12.19 15:07,Дром ,"drom·ru, auto·ru","Да, я его вожу",Нягань ,Мужчина,45-50 лет,chel01
18.12.19 15:09,Авто. ру,"drom·ru, auto·ru","Да, я его вожу",Нягань ХМАО-Югра,Мужчина,45-50 лет,chel01
18.12.19 15:14,Авто ru,auto·ru,"Да, я его вожу",Екатеринбурге,Мужчина,25-34 лет,chel01
18.12.19 15:14,Авто. Ру,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинской области,Мужчина,менее 18 лет,chel01
18.12.19 15:18,Не знаю ,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,18-24 лет,chel01
18.12.19 15:18,Авито,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 15:20,Авито,avito·ru,"Да, но я его не вожу",Магнитогорск,Мужчина,25-34 лет,chel01
18.12.19 15:25,"Авито, Дром","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Женщина,35-44 лет,chel01
18.12.19 15:26,Авито,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 15:26,Авито,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 15:29,Автору,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 15:31,Авито,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 15:32,Дромру,"drom·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 15:32,Авито,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 15:32,Авто ру,drom·ru,Нет,в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 15:39,Много,Ни где.,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
