,id,Время старта,Время финиша,id опроса,Опрос полностью пройден,1. **Какие сайты или мобильные приложения о продаже автомобилей вы знаете?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,2. **Где вы разместите объявление о продаже автомобиля?**,3. **Есть ли в вашей семье автомобиль?**,6. **Где вы проживаете?**,6. **Где вы проживаете?**,9. **Ваш пол?**,10. **Ваш возраст?**
31,b133eb3a-cc0c-53bc-82eb-d2a05d92fab3,2019-12-16 23:04:41,2019-12-16 23:05:51,12aLco5Uf8m1gJsNEH2BPL,да,'Avito Drom.ru ,drom.ru,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,18-24 лет
32,ed29195b-0821-56c7-980f-70b3f727dae2,2019-12-17 00:52:45,2019-12-17 00:53:12,12aLco5Uf8m1gJsNEH2BPL,да,'Авто.ру авито.дром,drom.ru,auto.ru,avito.ru,,,"Да, но я его не вожу",в Челябинске,,Мужчина,25-34 лет
33,ff3f03e8-c536-5394-a7a4-1ca853bb153f,2019-12-17 10:01:40,2019-12-17 10:02:35,12aLco5Uf8m1gJsNEH2BPL,да,"'авто.ру,  дром.ру,  автоспот",drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
34,d36cb2f2-7958-5f15-a0c1-8a56ce8d890b,2019-12-17 10:33:14,2019-12-17 10:34:19,12aLco5Uf8m1gJsNEH2BPL,да,'авто ру   авито   дром ру,,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,18-24 лет
35,95ceae60-1f05-5bb8-ae68-fa74c709534b,2019-12-17 10:59:39,2019-12-17 11:00:17,12aLco5Uf8m1gJsNEH2BPL,да,'Авито ,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинской области,,Мужчина,18-24 лет
36,831d0687-92f5-531b-9cc5-cd746a403c27,2019-12-17 11:05:44,2019-12-17 11:06:02,12aLco5Uf8m1gJsNEH2BPL,да,'дром ру,drom.ru,auto.ru,avito.ru,,,Нет,в Челябинске,,Мужчина,25-34 лет
37,e953acda-56ee-5292-b3ee-92328f58570a,2019-12-17 11:19:16,2019-12-17 11:19:51,12aLco5Uf8m1gJsNEH2BPL,да,'Авто ру,,auto.ru,,,,"Да, но я его не вожу",в Челябинской области,,Мужчина,Менее 18 лет
38,dd22814f-0e39-507c-8072-a815c1abee26,2019-12-17 11:30:56,2019-12-17 11:31:31,12aLco5Uf8m1gJsNEH2BPL,да,'яндекс,,,avito.ru,,,"Да, я его вожу",в Челябинской области,,Мужчина,35-44 лет
39,da1d8227-4f65-5496-8b99-40e2a1618550,2019-12-17 11:34:23,2019-12-17 11:34:54,12aLco5Uf8m1gJsNEH2BPL,да,'Авто.ру,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
40,ffbb0124-4bab-5f6f-b450-21a15e778c2e,2019-12-17 11:51:08,2019-12-17 11:51:45,12aLco5Uf8m1gJsNEH2BPL,да,'Drom.ru,drom.ru,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
41,f47a0ed2-188d-58c5-a9ab-2564b2486316,2019-12-17 12:00:57,2019-12-17 12:01:35,12aLco5Uf8m1gJsNEH2BPL,да,'дром.ру. авто.ру,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,45-50 лет
42,cb76eead-0f75-56d7-908a-e6b81a245d45,2019-12-17 12:04:24,2019-12-17 12:07:21,12aLco5Uf8m1gJsNEH2BPL,да,'дром.ру,drom.ru,,,,,"Да, я его вожу",в Челябинске,,Мужчина,45-50 лет
43,67709445-70b1-5be5-80e1-9938bae82281,2019-12-17 13:09:17,2019-12-17 13:09:50,12aLco5Uf8m1gJsNEH2BPL,да,'Автору,,auto.ru,,,,"Да, но я его не вожу",в Челябинске,,Мужчина,45-50 лет
44,a14d50aa-d26c-5ca1-905c-b7e723d2ceec,2019-12-17 13:20:21,2019-12-17 13:20:42,12aLco5Uf8m1gJsNEH2BPL,да,'Авито,drom.ru,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
45,c5f7e7c9-bc6e-5445-89ad-ea31e0ac996e,2019-12-17 13:44:41,2019-12-17 13:45:28,12aLco5Uf8m1gJsNEH2BPL,да,'avito drom avto.ru,,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
46,66e7d0c4-8969-580f-9d5f-03af4b9fddba,2019-12-17 13:55:57,2019-12-17 13:56:37,12aLco5Uf8m1gJsNEH2BPL,да,'Авито,,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
47,c8f4a81f-aeb4-5d14-bf41-6e55226d9b0b,2019-12-17 14:04:39,2019-12-17 14:05:05,12aLco5Uf8m1gJsNEH2BPL,да,'дром,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
48,94acdfb6-8023-572f-87c1-6a5a9c9b6d7f,2019-12-17 14:14:22,2019-12-17 14:15:31,12aLco5Uf8m1gJsNEH2BPL,да,"'Авто ру ,авито",drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,18-24 лет
49,e9fb5970-9c57-5de1-b3dd-e2ccb520ad11,2019-12-17 14:25:54,2019-12-17 14:26:34,12aLco5Uf8m1gJsNEH2BPL,да,"'авито ,дром ру ,авто ру
",drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинской области,,Мужчина,18-24 лет
50,da6db12b-bd2c-5337-ab57-1d5af74d9e66,2019-12-17 15:06:38,2019-12-17 15:07:11,12aLco5Uf8m1gJsNEH2BPL,да,'Авито,,,avito.ru,,,Нет,в Челябинске,,Мужчина,Менее 18 лет
51,35f8cee3-a499-5b21-8420-2381ba33b32e,2019-12-17 15:07:28,2019-12-17 15:08:02,12aLco5Uf8m1gJsNEH2BPL,да,'Авито,drom.ru,auto.ru,,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
52,97b6db78-f9b6-5f1e-a3c4-06308c5b39ac,2019-12-17 15:13:11,2019-12-17 15:13:40,12aLco5Uf8m1gJsNEH2BPL,да,"'Авито, Дром.ру, Авто.ру",drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
53,ac0f5e3e-821d-56bd-ac12-10dfa651a287,2019-12-17 15:33:31,2019-12-17 15:34:19,12aLco5Uf8m1gJsNEH2BPL,да,'Авто.ру,,auto.ru,avito.ru,,,"Да, но я его не вожу",в Челябинской области,,Мужчина,18-24 лет
54,c950cda8-312e-5a1b-9f60-741fcd6d7507,2019-12-17 15:56:02,2019-12-17 15:57:28,12aLco5Uf8m1gJsNEH2BPL,да,'Авито,,,avito.ru,,,Нет,в Челябинске,,Мужчина,35-44 лет
55,b1e9032d-2e5e-5012-8ceb-190eba4a4511,2019-12-17 16:15:55,2019-12-17 16:16:21,12aLco5Uf8m1gJsNEH2BPL,да,"'Ни одного
",drom.ru,,,,,"Да, но я его не вожу",в Челябинской области,,Мужчина,18-24 лет
56,a5b100ec-bcc5-54ff-ad02-2a09351e7397,2019-12-17 16:52:41,2019-12-17 16:53:29,12aLco5Uf8m1gJsNEH2BPL,да,'авито дром,drom.ru,,avito.ru,,,"Да, я его вожу",в Челябинской области,,Мужчина,35-44 лет
57,c325f2fd-0fb4-5be7-8304-b0b48297ea4d,2019-12-17 17:10:48,2019-12-17 17:12:48,12aLco5Uf8m1gJsNEH2BPL,да,"'avito. 
avto.ru. 
drom.
",,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
58,f56eb7d7-cb12-5b36-bc3b-34c30211e3a8,2019-12-17 17:46:59,2019-12-17 17:47:44,12aLco5Uf8m1gJsNEH2BPL,да,"'дром, авито",,,avito.ru,,,Нет,в Челябинске,,Мужчина,18-24 лет
59,1aa4420f-5b3a-590d-952b-af7359dd6211,2019-12-17 18:19:01,2019-12-17 18:19:41,12aLco5Uf8m1gJsNEH2BPL,да,'Дром. Ру,drom.ru,,,,,Нет,в Челябинске,,Мужчина,18-24 лет
60,0f782496-3ab7-53e0-8eb4-167c14cb79c6,2019-12-17 18:48:31,2019-12-17 18:49:40,12aLco5Uf8m1gJsNEH2BPL,да,"'Авито,Дром,автору",,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
61,d351b7f7-0c3c-5e8f-8433-302e3d4d30d9,2019-12-17 20:26:09,2019-12-17 20:27:00,12aLco5Uf8m1gJsNEH2BPL,да,'дром,drom.ru,auto.ru,avito.ru,74ру,74ру,"Да, я его вожу",в Челябинске,,Мужчина,45-50 лет
62,659c4db9-00a5-5c5f-bff4-aa721d6fe84c,2019-12-17 20:36:21,2019-12-17 20:37:10,12aLco5Uf8m1gJsNEH2BPL,да,"'авто.ру
Дром
авито",,auto.ru,,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
63,60d59a3c-0116-599b-aa81-a0aebabc86b4,2019-12-17 20:44:24,2019-12-17 20:46:11,12aLco5Uf8m1gJsNEH2BPL,да,'Auto.ru.    drom.ru,drom.ru,auto.ru,avito.ru,,,Нет,в Челябинске,,Мужчина,25-34 лет
64,5a765b8b-16d3-5fa5-810f-1367c9342737,2019-12-17 20:50:32,2019-12-17 20:50:52,12aLco5Uf8m1gJsNEH2BPL,да,'Авито,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
65,18c19694-0e4c-58d7-ab5a-f08959435c27,2019-12-17 21:38:39,2019-12-17 21:40:36,12aLco5Uf8m1gJsNEH2BPL,да,'Gidra.onion,,,,Gidra.onion,Gidra.onion,Нет,в Челябинске,,Мужчина,51 и более лет
66,38a51165-938a-53d5-99a8-fba0cf726e2a,2019-12-17 22:05:38,2019-12-17 22:06:18,12aLco5Uf8m1gJsNEH2BPL,да,'Drom.ru ; auto.ru ; avito ; youla,drom.ru,auto.ru,,,,"Да, я его вожу",в Челябинске,,Мужчина,18-24 лет
67,58d8af00-5664-5c17-90d8-68c959fce323,2019-12-17 22:31:37,2019-12-17 22:32:18,12aLco5Uf8m1gJsNEH2BPL,да,"'Авто ру, авито",,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,18-24 лет
68,2cfb8551-bdce-5ded-8ffb-4201acaa4b67,2019-12-17 22:40:50,2019-12-17 22:41:30,12aLco5Uf8m1gJsNEH2BPL,да,"'авто ру, дром ру,",drom.ru,auto.ru,,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
69,515a9fc7-dc45-5806-959d-a41702f4b10a,2019-12-17 23:01:37,2019-12-17 23:02:46,12aLco5Uf8m1gJsNEH2BPL,да,"'drom.ru, auto.ru, avito.ru",,auto.ru,avito.ru,,,Нет,в Челябинске,,Мужчина,35-44 лет
70,bd504dea-4971-5706-8f3d-614ff0af7ab6,2019-12-17 23:23:50,2019-12-17 23:24:21,12aLco5Uf8m1gJsNEH2BPL,да,'нисан,,,avito.ru,,,Нет,в Челябинске,,Мужчина,35-44 лет
71,80675120-582e-58c9-83be-233c9eb76215,2019-12-18 01:09:49,2019-12-18 01:10:40,12aLco5Uf8m1gJsNEH2BPL,да,"'Авито, Дром ру, юла",drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,18-24 лет
72,9a4e0bbe-cb08-5854-862b-d73b90790508,2019-12-18 02:51:56,2019-12-18 02:52:34,12aLco5Uf8m1gJsNEH2BPL,да,"'Drom.ru
Auto.ru",drom.ru,auto.ru,avito.ru,,,"Да, но я его не вожу",в Челябинске,,Мужчина,25-34 лет
73,ca1b60bb-11fa-5864-a651-5e8775ee1c28,2019-12-18 05:53:45,2019-12-18 05:54:15,12aLco5Uf8m1gJsNEH2BPL,да,'дром,drom.ru,auto.ru,,,,"Да, я его вожу",в Челябинске,,Мужчина,45-50 лет
74,ec84a8e9-c74a-576f-b44d-438318aa9155,2019-12-18 06:38:23,2019-12-18 06:38:50,12aLco5Uf8m1gJsNEH2BPL,да,'Авито,,,avito.ru,,,Нет,в Челябинске,,Мужчина,35-44 лет
75,4d7dc1a2-79bd-566e-b830-4c1381313b9e,2019-12-18 07:50:20,2019-12-18 07:50:46,12aLco5Uf8m1gJsNEH2BPL,да,'avito,,auto.ru,,,,"Да, я его вожу",в Челябинске,,Мужчина,45-50 лет
76,fe9a763e-8c6a-58ec-9ba0-98557bb9af41,2019-12-18 09:05:24,2019-12-18 09:05:55,12aLco5Uf8m1gJsNEH2BPL,да,'e1.ru Drom.ru,drom.ru,,avito.ru,E1.ru,E1.ru,Нет,в Челябинске,,Мужчина,18-24 лет
77,32b4e840-cfa1-59f6-9566-35ebd16855b4,2019-12-18 11:04:57,2019-12-18 11:05:25,12aLco5Uf8m1gJsNEH2BPL,да,"'Дром, Авито, авто",drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,35-44 лет
78,0cd25803-f206-5bfa-9e49-43706d22c8c9,2019-12-18 12:11:06,2019-12-18 12:11:55,12aLco5Uf8m1gJsNEH2BPL,да,'Дром.ру,drom.ru,,,,,"Да, но я его не вожу",в Челябинске,,Мужчина,35-44 лет
79,35986702-b0a6-507e-976e-c85ac0a7ce8d,2019-12-18 12:16:42,2019-12-18 12:17:32,12aLco5Uf8m1gJsNEH2BPL,да,'Дром,drom.ru,auto.ru,avito.ru,,,"Да, но я его не вожу",в Челябинске,,Мужчина,18-24 лет
80,badd387c-7556-5817-8997-2de22551543f,2019-12-18 13:45:36,2019-12-18 13:46:34,12aLco5Uf8m1gJsNEH2BPL,да,'Avito,,,avito.ru,,,Нет,в Челябинске,,Мужчина,18-24 лет
81,bcc43868-7e7e-55e7-a98d-e3a32e492163,2019-12-18 14:11:23,2019-12-18 14:12:02,12aLco5Uf8m1gJsNEH2BPL,да,'drom,drom.ru,auto.ru,avito.ru,,,Нет,в Челябинске,,Мужчина,35-44 лет
82,4967c6db-d6d3-5534-ada9-7ce3c8eedfc1,2019-12-18 15:52:47,2019-12-18 15:53:12,12aLco5Uf8m1gJsNEH2BPL,да,"'авито, дромру",,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,18-24 лет
83,dbc00e7f-273c-58b5-ab6c-ea1aa248f4ca,2019-12-18 15:57:42,2019-12-18 15:58:11,12aLco5Uf8m1gJsNEH2BPL,да,'авито,drom.ru,,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,25-34 лет
84,c3e99a7b-aa60-51ae-88c1-ee5b5508436b,2019-12-18 17:16:45,2019-12-18 17:17:21,12aLco5Uf8m1gJsNEH2BPL,да,'авто.ру,drom.ru,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,45-50 лет
85,bba19689-a7c6-5c1f-ad0a-2037817b9d8c,2019-12-18 19:02:54,2019-12-18 19:03:50,12aLco5Uf8m1gJsNEH2BPL,да,"'Дром ру
Авто ру
Авито",,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,45-50 лет
86,aa97ae67-e187-5d71-8faf-5f67aa85fa37,2019-12-19 04:01:27,2019-12-19 04:02:21,12aLco5Uf8m1gJsNEH2BPL,да,'авито,,auto.ru,avito.ru,,,"Да, я его вожу",в Челябинске,,Мужчина,45-50 лет
87,e9260211-bf95-5490-bac7-fe7449ecd344,2019-12-19 06:32:57,2019-12-19 06:33:30,12aLco5Uf8m1gJsNEH2BPL,да,'avito,drom.ru,auto.ru,avito.ru,,,Нет,в Челябинске,,Мужчина,35-44 лет
