statDate,q1,q2,auto,geo,gender,age,poll
18.12.19 21:53,Авито,"drom·ru, auto·ru, avito·ru, Юла",Нет,в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 22:01,From. Ru,drom·ru,"Да, но я его не вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 22:04,не знаю,ни где,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 22:05,Drom. Ru,"drom·ru, auto·ru, avito·ru",Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 22:18,"auto.ru, drom.ru","drom·ru, auto·ru, avito·ru",Нет,в Челябинске,Мужчина,18-24 лет,chel01
18.12.19 22:23,хуй,335,"Да, я его вожу",троицк,Женщина,51 и более лет,chel01
18.12.19 22:35,Авто. Ру,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 22:38,авито дром драйв 2 юла,"drom·ru, auto·ru, avito·ru, драйв 2","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 22:56,"Avito, Auto.ru, Drom.ru","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 22:59,Авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 23:35,Авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Женщина,18-24 лет,chel01
18.12.19 23:35,Авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Женщина,18-24 лет,chel01
18.12.19 23:42,хуй знает,хуй знает,Нет,в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 23:46,"Авто ру ,дром ру.","drom·ru, auto·ru",Нет,в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 23:55,хз,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,18-24 лет,chel01
19.12.19 00:27,Дром ру,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 00:28,Авито,"drom·ru, avito·ru",Нет,в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 00:29,Дром,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 00:34,Трейдин ,avito·ru,"Да, я его вожу",в Челябинске,Женщина,35-44 лет,chel01
19.12.19 00:42,Незнаю,Нигде ,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 00:47,Авто ру,auto·ru,"Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
19.12.19 00:47,Drom.ru,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 00:51,Авто,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 00:55,"DROM.RU, AUTO.RU, AVITO. RU, YOULA. RU","drom·ru, auto·ru, avito·ru, YOULA. RU","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 00:56,Дром.ру,"drom·ru, auto·ru",Нет,в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 01:10,Авто ру,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 01:25,Drom,avito·ru,"Да, но я его не вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 01:25,Незнаю,Нигде,Нет,в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 01:26,drom.ru,"drom·ru, avito·ru",Нет,в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 01:48,"Дром, авито, 74 авто","drom·ru, auto·ru, avito·ru, Инстаграм, задняя дверь авто","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 01:51,"Avito, Drom","drom·ru, auto·ru","Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
19.12.19 01:56,"авито, дром.ру, 74,ру","drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 01:57,Дром,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 02:04,Авито,avito·ru,Нет,в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 02:05,drom.ru,drom·ru,"Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
19.12.19 02:10,рп укеап,ырпвеапкепу,"Да, но я его не вожу",аепскаг,Мужчина,менее 18 лет,chel01
19.12.19 02:16,Дрон ру,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 02:22,Avto ru,auto·ru,Нет,в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 02:39,Нет,avito·ru,Нет,в Челябинске,Женщина,51 и более лет,chel01
19.12.19 02:41,Дромру,"drom·ru, 74.ру",Нет,в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 02:42,Авито,avito·ru,Нет,в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 02:48,Ни одного,Нигде,Нет,в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 02:49,"Дром, авито, авточел, автору",drom·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 03:10,Авто ру,"auto·ru, avito·ru",Нет,Кунашак,Мужчина,25-34 лет,chel01
19.12.19 03:12,"Дром, Авто.ру, Автоспот","drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 03:17,Toyota,drom·ru,"Да, но я его не вожу",в Челябинске,Женщина,менее 18 лет,chel01
19.12.19 03:20,Авито,"auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 03:24,Авто.ру,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 03:28,Разные,Нигде,"Да, но я его не вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 03:32,Дром ,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 03:39,Аuto,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 03:42,Авито 74ru юла ,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 03:47,Auto.ru,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 03:47,"Авито, дром.","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 03:49,"Дром, авито, автору","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 03:59,Дром. Авито. Авто.ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 04:06,"Drom, auto.ru","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 04:06,Авито,avito·ru,Нет,в Челябинске,Женщина,35-44 лет,chel01
19.12.19 04:13,Дром ру. Авто ру. ,"drom·ru, auto·ru, avito·ru, Юла","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 04:14,авито дром,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 04:23,Дром,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 04:27,Что такое сайты ? Что такое приложения ?,Автомобили.рус,Нет,Нью-йорк,Женщина,менее 18 лет,chel01
19.12.19 04:28,Пре,drom·ru,"Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
19.12.19 04:41,Авто.ру,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 04:49,Дром,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 04:49,Не знаю,auto·ru,"Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
19.12.19 04:56,Ппп,Ош,"Да, я его вожу",в Челябинске,Мужчина,18-24 лет,chel01
19.12.19 05:02,дром,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 05:05,Rvvg,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
